n_trials,empirical_p_signal_given_trigger,analytic_p_signal_given_trigger
5632,0.0,0.08676591469540598
5919,0.0,0.08676591469540598
6221,0.0,0.08676591469540598
6538,0.0,0.08676591469540598
6872,0.0,0.08676591469540598
7223,0.0,0.08676591469540598
7591,0.0,0.08676591469540598
7979,0.0,0.08676591469540598
8386,0.0,0.08676591469540598
8814,0.0,0.08676591469540598
9264,0.0,0.08676591469540598
9736,0.0,0.08676591469540598
10233,0.058823529411764705,0.08676591469540598
10755,0.05555555555555555,0.08676591469540598
11304,0.05263157894736842,0.08676591469540598
11881,0.05263157894736842,0.08676591469540598
12487,0.05263157894736842,0.08676591469540598
13124,0.05,0.08676591469540598
13794,0.05,0.08676591469540598
14498,0.045454545454545456,0.08676591469540598
15238,0.045454545454545456,0.08676591469540598
16015,0.043478260869565216,0.08676591469540598
16832,0.08,0.08676591469540598
17691,0.07692307692307693,0.08676591469540598
18594,0.07692307692307693,0.08676591469540598
19543,0.1111111111111111,0.08676591469540598
20540,0.10714285714285714,0.08676591469540598
21588,0.1,0.08676591469540598
22690,0.09375,0.08676591469540598
23848,0.08823529411764706,0.08676591469540598
25064,0.08571428571428572,0.08676591469540598
26343,0.08108108108108109,0.08676591469540598
27688,0.10256410256410256,0.08676591469540598
29100,0.10256410256410256,0.08676591469540598
30585,0.10256410256410256,0.08676591469540598
32146,0.1,0.08676591469540598
33786,0.08888888888888889,0.08676591469540598
35510,0.10869565217391304,0.08676591469540598
37322,0.10204081632653061,0.08676591469540598
39227,0.09615384615384616,0.08676591469540598
41228,0.09615384615384616,0.08676591469540598
43332,0.09433962264150944,0.08676591469540598
45543,0.08771929824561403,0.08676591469540598
47867,0.0847457627118644,0.08676591469540598
50309,0.0847457627118644,0.08676591469540598
52876,0.078125,0.08676591469540598
55574,0.08955223880597014,0.08676591469540598
58410,0.08695652173913043,0.08676591469540598
61391,0.09859154929577464,0.08676591469540598
64523,0.10666666666666667,0.08676591469540598
67815,0.10256410256410256,0.08676591469540598
71276,0.1,0.08676591469540598
74913,0.09523809523809523,0.08676591469540598
78735,0.0898876404494382,0.08676591469540598
82753,0.08421052631578947,0.08676591469540598
86975,0.09090909090909091,0.08676591469540598
91413,0.08737864077669903,0.08676591469540598
96077,0.08333333333333333,0.08676591469540598
100980,0.08695652173913043,0.08676591469540598
106132,0.09917355371900827,0.08676591469540598
111548,0.10236220472440945,0.08676591469540598
117240,0.09923664122137404,0.08676591469540598
123222,0.09285714285714286,0.08676591469540598
129509,0.08783783783783784,0.08676591469540598
136118,0.09615384615384616,0.08676591469540598
143063,0.09876543209876543,0.08676591469540598
150363,0.10650887573964497,0.08676591469540598
158035,0.1016949152542373,0.08676591469540598
166099,0.10256410256410256,0.08676591469540598
174575,0.09950248756218906,0.08676591469540598
183482,0.1,0.08676591469540598
192845,0.09502262443438914,0.08676591469540598
202685,0.09913793103448276,0.08676591469540598
